DATE,MRTSSM441USN
1992-01-01,29811
1992-02-01,31217
1992-03-01,35136
1992-04-01,36082
1992-05-01,36460
1992-06-01,38389
1992-07-01,37814
1992-08-01,35436
1992-09-01,35883
1992-10-01,36738
1992-11-01,32360
1992-12-01,33067
1993-01-01,32200
1993-02-01,32787
1993-03-01,39258
1993-04-01,41055
1993-05-01,41390
1993-06-01,42995
1993-07-01,42978
1993-08-01,41706
1993-09-01,40274
1993-10-01,40287
1993-11-01,38982
1993-12-01,39004
1994-01-01,36499
1994-02-01,39207
1994-03-01,48794
1994-04-01,47592
1994-05-01,47065
1994-06-01,49302
1994-07-01,45730
1994-08-01,48327
1994-09-01,46351
1994-10-01,46178
1994-11-01,43612
1994-12-01,42484
1995-01-01,40555
1995-02-01,41459
1995-03-01,51531
1995-04-01,47869
1995-05-01,52775
1995-06-01,54922
1995-07-01,49968
1995-08-01,53479
1995-09-01,48827
1995-10-01,48488
1995-11-01,46040
1995-12-01,43802
1996-01-01,44859
1996-02-01,49575
1996-03-01,55636
1996-04-01,54096
1996-05-01,58150
1996-06-01,54914
1996-07-01,55071
1996-08-01,55481
1996-09-01,51121
1996-10-01,54229
1996-11-01,48137
1996-12-01,46238
1997-01-01,48395
1997-02-01,50126
1997-03-01,57665
1997-04-01,56305
1997-05-01,57939
1997-06-01,57464
1997-07-01,58472
1997-08-01,58070
1997-09-01,54860
1997-10-01,55571
1997-11-01,48573
1997-12-01,50377
1998-01-01,49721
1998-02-01,50744
1998-03-01,59831
1998-04-01,60028
1998-05-01,62210
1998-06-01,64854
1998-07-01,59770
1998-08-01,57742
1998-09-01,56630
1998-10-01,59483
1998-11-01,52556
1998-12-01,54846
1999-01-01,52535
1999-02-01,57052
1999-03-01,67732
1999-04-01,64869
1999-05-01,67822
1999-06-01,69366
1999-07-01,68335
1999-08-01,69464
1999-09-01,64572
1999-10-01,62383
1999-11-01,59856
1999-12-01,60218
2000-01-01,58773
2000-02-01,66892
2000-03-01,75067
2000-04-01,65986
2000-05-01,73050
2000-06-01,73002
2000-07-01,67260
2000-08-01,71850
2000-09-01,65835
2000-10-01,63805
2000-11-01,58449
2000-12-01,56241
2001-01-01,59261
2001-02-01,61518
2001-03-01,71400
2001-04-01,67278
2001-05-01,74342
2001-06-01,72739
2001-07-01,69045
2001-08-01,73327
2001-09-01,60942
2001-10-01,79534
2001-11-01,65196
2001-12-01,60997
